"","Location","Total Expenditures","Expenditures per Capita","Total Operating Expenditures per Visit","Total Operating Expenditures per Open Hour","Total Operating Expenditures per Circulation","% Operating Expenditures on Staff","% of Operating Expenditures on Collection","% of Collection Expenditures on Print Materials","% of Collection Expenditures on Electronic Materials","% of Collection Expenditures on Serial Subscriptions","% of Collection Expenditures on Other Materials"
"46","SAN MATEO PUBLIC LIBRARY",7322153,68.53253,290.93106,14882.4248,0,0.62475,0.0774952,0.4403312,0.370788,0.0692629,0.1196179
"47","YOLO COUNTY LIBRARY",7217839,44.5801,403.99294,5096.98028,0,0.5886229,0.0712976,0.4799054,0.4479897,0.0225187,0.0495861
"48","BURBANK PUBLIC LIBRARY",6922439,66.34858,117.25643,4221.66218,0,0.7714772,0.0559113,0.4032441,0.445496,0.0378571,0.1134028
"49","SANTA BARBARA PUBLIC LIBRARY",6516738,49.19922,0,17557.0317,0,0.5766365,0.1090744,0.4282399,0.4570851,0.0002378,0.1144372
"50","WHITTIER PUBLIC LIBRARY",6369499,40.54612,819.44033,6759.98646,0,0.7382124,0.0767518,0.247218,0.6597164,0.0363554,0.0567102
"51","SANTA CLARITA PUBLIC LIBRARY",6271582,28.29521,137.54171,3548.06225,0,0.56198,0.1611904,0.4027832,0.5484741,0,0.0487427
"52","HAYWARD PUBLIC LIBRARY",6201799,38.91108,129.468,87877.32857,0,0.6476673,0.0495584,0.4634514,0.3395625,0.0257796,0.1712065
"53","KERN COUNTY LIBRARY",6115869,6.68991,132.96524,655.64633,0,0.6675351,0.0809821,0.2923582,0.5053465,0.0019323,0.200363
"54","SAN LEANDRO PUBLIC LIBRARY",5915595,63.66328,0,30702.23204,0,0.5650967,0.0680536,0.421293,0.4060093,0.058948,0.1137498
"55","OCEANSIDE PUBLIC LIBRARY",5898680,33.37226,66.66004,1615.19168,0,0.5988908,0.0638572,0.5855822,0.3276051,0.029734,0.0570787
"56","SANTA ANA PUBLIC LIBRARY",5837955,15.41264,809.52164,10820.49153,0,0.6158104,0.0894084,0.3772504,0.2966671,0.0194905,0.3065919
"57","TORRANCE PUBLIC LIBRARY",5812670,40.13388,63.08246,1834.80745,0,0.6568033,0.0663769,0.3358319,0.5506069,0.1117107,0.0018506
"58","YORBA LINDA PUBLIC LIBRARY",5705682,83.22718,67.74927,4353.6091,0,0.4545957,0.0808328,0.4632575,0.4130749,0.03078,0.0928877
"59","HUNTINGTON BEACH PUBLIC LIBRARY",5582450,27.12657,43.69915,2255.2859,0,0.722831,0.1130952,0.4366303,0.4623609,0.0182256,0.0827832
